Empresa;Acessos;Market Share;Ranking
MICRON LINE SERVIÇOS DE INFORMATICA LTDA;27.322;0,000693879745474;87
G6 TELECOMUNICACOES LTDA;27.260;0,000692305170252;88
A. P. OLIVEIRA & CIA. INFORMATICA LTDA.;27.052;0,000687022724346;89
CLIC RAPIDO TELECOMUNICACAO LTDA;26.779;0,000680089514093;90
R&R PROVEDOR DE INTERNET LTDA;26.755;0,000679480001104;91
SPEED SERVIÇOS DE INTERNET LTDA;26.538;0,000673968987827;92
ISP PREMIUM TELECOM S/A;26.081;0,000662362844657;93
N-multimidia Telecomunicacoes Ltda;24.625;0,000625385723311;94
Giga Byte Telecomunicacoes Ltda.;24.514;0,000622566725736;95
TECSOFTNET SOLUCOES EM INFORMATICA LTDA - ME;24.438;0,00062063660127;96
ACESSOLINE TELECOMUNICACOES LTDA;24.386;0,000619315989794;97
SEBRATEL TECNOLOGIA LTDA.;24.377;0,000619087422423;98
BC CONECTIVIDADE LTDA;24.237;0,000615531929986;99
MKANET SERVICOS E COMERCIO DE INFORMATICA LTDA;24.215;0,000614973209745;100
MASTER TELECOM EIRELI;23.526;0,00059747510768;101
NET ONZE PROVEDOR DE ACESSO A INTERNET LTDA;23.037;0,000585056280525;102
TEN INTERNET LTDA;22.915;0,00058195792283;103
TECMIDIAWEB EIRELI;22.629;0,000574694559708;104
WGO MULTIMIDIA EIRELI;22.392;0,000568675618939;105
ENGEPLUS TELECOM LTDA. - EPP;22.042;0,000559786887847;106
MAXXNET TELECOMUNICACOES EIRELI;21.865;0,000555291729551;107
FLYBYTE COMUNICACAO MULTIMIDIA LTDA.;21.706;0,000551253705998;108
STI TELECOM EIRELI;21.672;0,000550390229263;109
CONTATO INTERNET LTDA EPP;21.574;0,000547901384557;110
AONET SERVICOS DE COMUNICACAO LTDA;21.525;0,000546656962204;111
S&T PARTICIPACOES LTDA;21.357;0,00054239037128;112
CLEAN NET TELECOMUNICACOES LTDA;21.337;0,000541882443788;113
INFOMENCK COMERCIO E SERVICOS DE TELECOMUNICAÇÃO E INFORMATICA EIRELI;21.064;0,000534949233536;114
MINAS TELECOMUNICACOES LTDA;20.852;0,000529565202131;115
JC TELECOM SERVICOS DE TELECOMUNICACOES LTDA - EPP;20.774;0,000527584284916;116
SUPRANET TELECOM E INFORMATICA LTDA;20.563;0,000522225649886;117
STARNET TELECOMUNICACOES EIRELI;20.401;0,000518111437209;118
ATIVE TELECOMUNICACOES S.A.;20.367;0,000517247960474;119
TELEMIDIA SISTEMAS DE TELECOMUNICAÇÃO LTDA;20.218;0,000513463900666;120
ZILIONET TELECOMUNICACOES LTDA;19.618;0,000498226075936;121
Realtele Servicos Digitais Ltda;19.564;0,00049685467171;122
SUPERLINE TELECOMUNICACOES LTDA;19.483;0,000494797565371;123
COSTA ESMERALDA NET LTDA ME;19.420;0,000493197593775;124
EXATA TELCO S.A;19.346;0,000491318262058;125
WANTEL TECNOLOGIA LTDA.;19.114;0,000485426303162;126
L & J REDES DE TELECOMUNICACAO E INFORMATICA LTDA;19.027;0,000483216818576;127
Sitecnet Informatica Ltda;18.931;0,000480778766619;128
NEOLINK TELECOMUNICACOES LTDA;18.909;0,000480220046379;129
HOLÍSTICA - PROVEDOR INTERNET LTDA;18.857;0,000478899434903;130
BT;18.796;0,000477350256055;131
EMPIRE SERVICOS DE INTERNET LTDA;18.570;0,000471610675407;132
CERTTO TELECOMUNICACOES LTDA;18.526;0,000470493234926;133
ICONECT TELECOMUNICAÇÕES INTERNET E SERVIÇOS LTDA;18.525;0,000470467838552;134
FIBER NETWORK SERVICOS DE COMUNICACAO MULTIMIDIA LTDA;18.501;0,000469858325563;135
NR CONEXOES QUE FORTALECEM PROVEDOR DE ACESSO A REDE DE COMUNICACAO LTDA;18.467;0,000468994848828;136
TCHETURBO PROVEDOR DE INTERNET LTDA;18.313;0,000465083807147;137
GUAIBA TELECOMUNICACAO SISTEMAS E INFORMACAO LTDA;18.214;0,000462569566067;138
G R V TELECOM LTDA;18.177;0,000461629900208;139
Borges Pereira Eireli;17.919;0,000455077635574;140
KONNET TELECOMUNICAÇÕES EIRELI - EPP;17.875;0,000453960195094;141
Unetvale Servicos e Equipamentos Ltda;17.818;0,000452512601745;142
CORTEZ ON LINE PROVEDOR DE INTERNET LTDA;17.579;0,000446442868227;143
FIXTELL INTERNET LTDA;17.509;0,000444665122008;144
Telecomunicacoes Brasileiras S.A. Telebras;17.475;0,000443801645274;145
VIAWEBRS TELECOMUNICACOES LTDA;17.377;0,000441312800568;146
BRASILNET TELECOMUNICAÇÕES DO PARANÁ - EIRELI;17.351;0,000440652494829;147
VIVAS TELECOMUNICACOES LTDA;17.081;0,000433795473701;148
NAVE NET SERVICOS DE INTERNET LTDA;17.044;0,000432855807842;149
CENTURYLINK COMUNICACOES DO BRASIL LTDA;16.955;0,000430595530507;150
WKVE-ASSES. EM SERV. DE INF. E TELECOMUNICACOES LTDA;16.819;0,000427141623568;151
PR TELECOMUNICACOES EIRELI;16.445;0,000417643379486;152
HOINASKI & SKLASKY LTDA;16.372;0,000415789444144;153
MINASNET TELECOMUNICACOES LTDA;16.278;0,000413402184936;154
SOLUCAO NETWORK PROVEDOR LTDA;16.234;0,000412284744456;155
NET - ROSAS COMERCIO SERVICOS EM INFORMATICA LTDA;15.934;0,000404665832091;156
BOM TEMPO SERVICOS DE COMUNICACAO MULTIMIDIA LTDA;15.694;0,000398570702199;157
MOTTANET SCM - SERVICOS DE INTERNET, TECNOLOGIA E TELECOMUNICACOES LTDA.;15.573;0,000395497740878;158
ACESSE COMUNICACAO LTDA;15.555;0,000395040606136;159
IPNET TELECOM LTDA.;15.310;0,000388818494371;160
TRIXNET SERVICOS DE TELEINFORMATICA LTDA;15.249;0,000387269315524;161
INTLINK TECNOLOGIA E SERVICOS DE TELECOMUNICACAO LTDA;15.246;0,0003871931264;162
NEXA TELECOMUNICACOES EIRELI;15.122;0,000384043975956;163
TELECAB TELECOMUNICACOES LTDA;15.048;0,000382164644239;164
ISPNET TELECOMUNICACOES LTDA - EPP;14.953;0,000379751988657;165
TKNET TELECOM LTDA;14.930;0,000379167872042;166
PJR INTERNET LTDA;14.854;0,000377237747576;167
HTEC TELECOMUNICACOES LTDA;14.851;0,000377161558453;168
AZEVEDO & FLORIANI TELECOMUNICACOES LTDA;14.780;0,000375358415859;169
PONTENET TELEINFORMATICA LTDA - ME;14.751;0,000374621920998;170
MLS WIRELESS TELECOMUNICACOES S.A.;14.216;0,000361034860613;171
S.o. do Brasil Telecomunicacoes Ltda;14.209;0,000360857085991;172
BRASREDE TELECOMUNICACOES LTDA;14.158;0,000359561870889;173
EVO NETWORKS TELECOMUNICACOES LTDA;14.142;0,000359155528896;174
SOCIAL TELECOMUNICACOES LTDA - EPP;14.141;0,000359130132522;175
LOGTEL TELECOMUNICACOES E INFORMATICA LTDA;14.101;0,00035811427754;176
EXL TELECOMUNICACOES EIRELI;14.077;0,00035750476455;177
FENIX INTERNET COMUNICACOES EIRELI;13.796;0,000350368383302;178
XTURBO PROVEDOR DE INTERNET EIRELI;13.633;0,00034622877425;179
L E M TELECOMUNICACOES LTDA;13.555;0,000344247857035;180
WEB NET TELECOMUNICACAO EIRELI;13.458;0,000341784408703;181
NAXI TELECOMUNICAÇÕES LTDA - EPP;13.396;0,000340209833481;182
Paulino P. dos Santos- Informatica e Servicos de Comunicacao Multimidia;13.375;0,000339676509616;183
BRPHONIA PROVEDOR IP LTDA - EPP;13.374;0,000339651113241;184
VIANET TELECOMUNICACOES E INTERNET LTDA;13.317;0,000338203519892;185
SEM FRONTEIRAS TELECOMUNICACOES LTDA;13.019;0,000330635400276;186
MEGA TELEINFORMATICA EIRELI;12.920;0,000328121159195;187
MEGALINK SERVIÇOS LTDA. - ME;12.902;0,000327664024453;188
INTELECTA ASSESSORIA E TECNOLOGIA LTDA;12.833;0,000325911674609;189
Dez Solucoes em Telecomunicacoes Ltda;12.783;0,000324641855882;190
SISTEMA OESTE DE COMUNICAÇÃO LTDA;12.759;0,000324032342893;191
NIPTELECOM TELECOMUNICAÇÕES EIRELI - EPP;12.580;0,000319486391848;192
CONECT PROVEDOR DE ACESSO A INTERNET LTDA - ME;12.402;0,000314965837178;193
RBT TELECOM LTDA;12.111;0,000307575492184;194
Citta Telecom Ltda;12.044;0,000305873935089;195
DIGITAL NET INTERNET SERVICE PROVIDER LTDA ME;12.033;0,000305594574969;196
LINK SETE SERVICOS DE INTERNET E REDES LTDA-EPP;11.968;0,000303943810623;197
Brasil Digital Servicos de Informatica e Comercio Eireli;11.792;0,000299474048702;198
Digital do Lote Xv Ltda;11.742;0,000298204229974;199
CONECTA TELECOM INTERNET LTDA;11.673;0,00029645188013;200
Valdemar Melo da Mota & Cia Ltda;11.639;0,000295588403396;201
MICROTELL SCM LTDA;11.569;0,000293810657177;202
ZUKNET NETWORKS LTDA - ME;11.411;0,000289798029998;203
Louvetel Comunicacao Comercial Ltda;11.332;0,000287791716409;204
LIG10 TELECOMUNICACOES EIRELI;11.298;0,000286928239674;205
RAIMAX INTERNET EIRELI;11.194;0,000284287016721;206
VAMOS INTERNET TELECOM LTDA;11.187;0,000284109242099;207
VOGEL SOLUCOES EM TELECOMUNICACOES E INFORMATICA S.A.;11.131;0,000282687045124;208
VIRTUAL TELECOM LTDA;11.131;0,000282687045124;208
FGTECH INFORMÁTICA LTDA;11.086;0,000281544208269;210
REDEMETRO TELECOMUNICACOES LTDA;11.078;0,000281341037273;211
VCONNECT TELECOM LTDA;11.020;0,000279868047549;212
Gold Telecom Ltda;11.008;0,000279563291054;213
IMPACTO TELECOMUNICACOES EIRELI;10.900;0,000276820482603;214
NET JACAREI TELECON LTDA-ME;10.797;0,000274204656024;215
AR SOLVER ASSESSORIA ADMINISTRATIVA - EIRELI;10.765;0,000273391972038;216
COMPUSERVICE EMPREENDIMENTOS LTDA;10.666;0,000270877730958;217
SIGNET TELECOMUNICACOES EIRELI;10.656;0,000270623767212;218
MAIS INTERNET COMERCIO SERVICOS E TELECOMUNICACOES LTDA  - ME;10.630;0,000269963461474;219
Cataguases Net Ltda;10.531;0,000267449220394;220
GRUPO DE COMUNICACAO NET PROVEDOR EIRELI;10.482;0,000266204798041;221
THIAGO HIGOR GOMES MESQUITA - ME;10.405;0,0002642492772;222
RECICLANET SERVIÇOS E TELECOMUNICAÇÕES EIRELI;10.379;0,000263588971462;223
NET FACIL SISTEMAS ELETRONICOS LTDA;10.275;0,000260947748509;224
SOBRALNET SERVICOS E TELECOMUNICACOES EIRELI;10.256;0,000260465217392;225
SONIK SERVICOS DE COMUNICACAO LTDA;10.235;0,000259931893527;226
ESTRELAR WEB SERVIÇOS DE INTERNET LTDA - ME;10.197;0,000258966831294;227
CCS CAMBORIU CABLE SYSTEM DE TELECOMUNICACOES LTDA;10.166;0,000258179543683;228
LUIZA MARIA DE SOUZA SINDELAR;10.113;0,000256833535831;229
ZAP BL TELECOMUNICACOES LTDA  - ME;10.025;0,000254598654871;230
CRERAL - COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA;9.946;0,000252592341281;231
BRSULNET TELECOM LTDA;9.878;0,000250865387812;232
PANDA NETWORK SOLUCOES EM TELECOM EIRELI;9.739;0,000247335291749;233
Nicnet Telecon Ltda;9.706;0,000246497211389;234
TVC SERVICOS DE COMUNICACAO LTDA - ME;9.620;0,000244313123178;235
R JOSE DA SILVA & CIA LTDA;9.612;0,000244109952181;236
ELO.NET TECNOLOGIA LTDA;9.603;0,00024388138481;237
UWBR VOX TELECOMUNICACOES S/A;9.602;0,000243855988436;238
PROCESS TELECOMUNICACOES LTDA.;9.566;0,000242941718952;239
MELO TELECOMUNICACOES LTDA;9.467;0,000240427477872;240
PALMASNET INFORMATICA LTDA;9.452;0,000240046532253;241
MOC COMUNICACAO S/A;9.417;0,000239157659144;242
REDE CONESUL TELECOMUNICAÇÕES LTDA - ME;9.335;0,000237075156431;243
WASAT TELECOM EIRELI;9.323;0,000236770399936;244
ULTRATELECOM PROVEDORA DE INTERNET EIRELI;9.269;0,000235398995711;245
POX NETWORK TELECOMUNICACOES LTDA;9.183;0,000233214907499;246
BORGES SERVIÇOS EIRELI;9.128;0,000231818106899;247
RMR ASSESSORIA TECNICA EM TELEINFORMATICA LTDA ME;9.097;0,000231030819288;248
LINKWAP PROVEDOR DE INTERNET E FIBRA OPTICA LTDA;9.082;0,00023064987367;249
BR CONECTA LTDA - ME;9.052;0,000229887982433;250
SNAKE INFORMATICA LTDA - ME;9.027;0,000229253073069;251
GLOBALL REDES DE TELECOMUNICACOES LTDA  - ME;8.994;0,000228414992709;252
SUPER MÍDIA TV A CABO LTDA.;8.985;0,000228186425338;253
SPEEDNET TELECOMUNICACAO LTDA  - ME;8.981;0,00022808483984;254
Netiz Telecom Ltda;8.964;0,000227653101473;255
BITCOM PROVEDOR DE SERVICOS DE INTERNET LTDA;8.956;0,000227449930476;256
SBS-NET TELECOMUNICAÇÕES EIRELI;8.884;0,000225621391509;257
Netspeed Ltda;8.784;0,000223081754053;258
ADM INTERNET EIRELI;8.784;0,000223081754053;258
TRES PONTAS INTERNET LTDA;8.777;0,000222903979432;260
NEX TELECOM LTDA - ME;8.709;0,000221177025962;261
SENDNET TELECOM LTDA;8.702;0,00022099925134;262
INFORMATICA ITAPIRANGA LTDA;8.693;0,000220770683969;263
SILVEIRA & GONCALVES COMERCIO DE MATERIAIS DE INFORMATICA LTDA;8.667;0,000220110378231;264
RA TELECOMUNICACOES LTDA.;8.655;0,000219805621736;265
Ibiunet Telecomunicacoes Ltda;8.654;0,000219780225362;266
PEDROSA JUNIOR & SANTOS LTDA;8.602;0,000218459613885;267
STAR SERVIÇOS DE INTERNET LTDA;8.600;0,000218408821136;268
Nova Net Internet Solution Ltda;8.595;0,000218281839263;269
BJ NET PROVEDOR DE INTERNET LTDA;8.594;0,000218256442889;270
ITS TELECOMUNICACOES LTDA;8.567;0,000217570740776;271
GIGA TV EIRELI - EPP;8.561;0,000217418362529;272
UBANNETWORK SERVIÇOS DE COMUNICAÇÃO LTDA. - ME;8.553;0,000217215191532;273
Webby Sul Internet Ltda;8.533;0,000216707264041;274
DZ7 TELECOMUNICACOES LTDA;8.522;0,000216427903921;275
Andres Refatte Cheguhen Eireli;8.474;0,000215208877943;276
SANTOS OLIVEIRA SERVICOS DE MULTIMIDIA LTDA;8.473;0,000215183481568;277
PRIMATEC TELECOM LTDA - ME;8.437;0,000214269212084;278
DELTA ATIVA LTDA - ME;8.419;0,000213812077342;279
Win Time Ltda;8.381;0,000212847015109;280
A. Hikaru Kamide - Scm Ltda;8.376;0,000212720033237;281
MAIS INTERNET EIRELI;8.371;0,000212593051364;282
ARANET COMUNICACAO LTDA;8.334;0,000211653385506;283
SUL ONLINE TELECOM LTDA - EPP;8.295;0,000210662926898;284
INET TELECOMUNICAÇÕES LTDA;8.292;0,000210586737774;285
POINT TELECOMUNICAÇÕES LTDA - ME;8.284;0,000210383566778;286
Scnet Equipamentos de Informatica Eireli;8.226;0,000208910577054;287
TREE FIBERNET VALENS TELECOMUNICAÇÕES LTDA;8.138;0,000206675696094;288
TECHINFO INFORMATICA LTDA ME;8.118;0,000206167768603;289
SATURNO COMUNICAÇÕES LTDA;8.048;0,000204390022384;290
BRMOM CONSTRUINDO CONEXÕES LTDA;8.005;0,000203297978278;291
MKM INTERNET SOLUTION PROVIDER EIRELI;7.957;0,0002020789523;292
Cristiano Holdefer & Cia Ltda;7.801;0,00019811711787;293
TVC DE ASSIS EIRELI;7.785;0,000197710775877;294
MAP TECNOLOGIA LTDA;7.785;0,000197710775877;294
Infoservic Provedor de Internet - Eireli;7.737;0,000196491749899;296
APARECIDA TELECOM - LTDA;7.730;0,000196313975277;297
MCL - PROVEDORA DE INTERNET LTDA;7.713;0,00019588223691;298
ADAPT LINK SERVICOS DE COMUNICACAO MULTIMIDIA LTDA - ME;7.713;0,00019588223691;298
KIM NET SOLUÇÕES EM INTERNET EIRELI;7.672;0,000194840985553;300
TECHNET NETWORKS LTDA - ME;7.665;0,000194663210931;301
HYPER NET TELECOMUNICACOES LTDA ME;7.661;0,000194561625433;302
HUBTEL SERVIÇOS DE TELECOMUNICAÇÕES LTDA;7.623;0,0001935965632;303
VGS TELECOMUNICAÇÕES EIRELI;7.585;0,000192631500967;304
ITANA GABRIELA DO NASCIMENTO BEZERRA 073021884483 - ME;7.585;0,000192631500967;304
A. W. LOURENCO GOMES PROVEDORES LTDA - ME;7.544;0,000191590249611;306
VIAFIBRA TELECOMUNICACOES LTDA;7.508;0,000190675980127;307
DIRETA COMUNICACOES LTDA;7.484;0,000190066467138;308
RVT SERVICOS DE TELECOMUNICACOES LTDA;7.474;0,000189812503392;309
TURKEY NET TECNOLOGIA EM INTERNET, SEGURANCA E TELEFONIA LTDA ME;7.420;0,000188441099166;310
M. V. MARTIN & CIA LTDA;7.395;0,000187806189802;311
PAM PEPE ANTENAS TELECOMUNICACOES E MULTIMIDIAS LTDA;7.352;0,000186714145697;312
SCREEN SAVER INFORMATICA LTDA;7.304;0,000185495119718;313
ROSEIRA TELECOM - LTDA;7.294;0,000185241155973;314
INETVIP TELECOM LTDA EPP;7.281;0,000184911003104;315
EUDER RIBEIRO DE SOUZA FILHO 03349095119;7.264;0,000184479264736;316
N4 TELECOMUNICACOES LTDA;7.250;0,000184123715493;317
LINSFIBRA PROVEDOR DE INTERNET LTDA ME;7.242;0,000183920544496;318
IDT BRASIL TELECOMUNICAÇÕES LTDA.;7.230;0,000183615788002;319
TCF - TELECOMUNICAÇÕES CAMPO FLORIDO EIRELI;7.192;0,000182650725769;320
VIACOM INFORMATICA LTDA;7.177;0,00018226978015;321
OQUEI TELECOM LTDA;7.170;0,000182092005529;322
Ljl Provedor de Internet Ltda;7.124;0,000180923772299;323
TW TELECOM RONDONOPOLIS LTDA;7.110;0,000180568223056;324
IGUABA I PROVEDOR DE SERVICOS INTERNET LTDA - ME;7.100;0,00018031425931;325
EMPRESA CATARINENSE DE TECNOLOGIA EM TELECOMUNICACOES LTDA;7.086;0,000179958710066;326
SUPER SONIC TELECOM LTDA;7.032;0,000178587305841;327
SSTV - SISTEMA SUL DE TELEVISÃO LTDA;7.030;0,000178536513091;328
TRI TELECOM LTDA - EPP;7.020;0,000178282549346;329
MICKS TELECOM EIRELI;7.000;0,000177774621855;330
NEW GROUP TELECOMUNICAÇÕES LTDA - ME;6.944;0,00017635242488;331
JEBNET TELECOMUNICACOES LTDA;6.930;0,000175996875636;332
CDI TELECOM LTDA - EPP;6.915;0,000175615930018;333
A. R. LEOPOLDINO - TELECOM;6.905;0,000175361966273;334
IMBRANET TELECOM LTDA;6.877;0,000174650867785;335
Lli Provedor Internet Ltda;6.846;0,000173863580174;336
SOARES & PERUZZO LTDA;6.841;0,000173736598301;337
L GONZAGA JUNIOR SERVIÇOS DE INTERNET - ME;6.774;0,000172035041207;338
WAY.COM PROVEDOR BANDA LARGA EIRELI;6.733;0,00017099378985;339
BANDATURBO PROVEDOR DE INTERNET LTDA ME;6.722;0,00017071442973;340
PROVEDOR FUTURA SC LTDA;6.698;0,000170104916741;341
MALUGAINFOR COMERCIO DE PRODUTOS DE INFORMATICA LTDA;6.599;0,00016759067566;342
ABCREDE TELECOM INFORMATICA LTDA-ME.;6.582;0,000167158937293;343
LUCARONI TELECOM LTDA - ME;6.567;0,000166777991675;344
TVC TUPÃ EIRELI;6.547;0,000166270064183;345
Plugnet Tecnologia e Informatica Ltda;6.527;0,000165762136692;346
M J VENTURA LTDA;6.513;0,000165406587449;347
G4 TELECOMUNCACOES COMERCIO E SERVICOS DE INFORMATICA EIRELI;6.504;0,000165178020078;348
BRASIL RADIOWAVE LTDA-ME;6.465;0,00016418756147;349
LED INTERNET EIRELI;6.446;0,000163705030354;350
CLONIX TELECOM EIRELI - ME;6.446;0,000163705030354;350
MANTIQUEIRA TECNOLOGIA LTDA;6.407;0,000162714571746;352
TI5 TELECOM LTDA;6.402;0,000162587589874;353
OBTI - OPERADORA BRASILEIRA DE TELECOMUNICACAO E INTERNET EIRELI;6.394;0,000162384418877;354
CONECTV LTDA;6.389;0,000162257437004;355
NET.COM PROVEDOR DE INTERNET EIRELI;6.368;0,000161724113139;356
ATRANET TELECOMUNICACOES LTDA;6.362;0,000161571734892;357
NET FLEX LTDA - ME;6.328;0,000160708258157;358
POWERNET SOLUTIONS LTDA;6.318;0,000160454294411;359
AGRESTENET COMERCIO E SERVICO LTDA;6.297;0,000159920970546;360
IFTNET TELECOMUNICACOES LTDA.;6.294;0,000159844781422;361
ANDRADE & LANDIM TELECOMUNICAÇÕES LTDA;6.288;0,000159692403175;362
ACESSANET - TELECON LTDA;6.273;0,000159311457557;363
VIPMAXX - INTERNET LTDA;6.270;0,000159235268433;364
MEGA SIMPLES TELECOM LTDA;6.261;0,000159006701062;365
DIRECT WIFI TELECOM LTDA - ME;6.238;0,000158422584447;366
DC INTERNET EIRELI;6.236;0,000158371791698;367
WORLDNET TELECOMUNICACOES LTDA - ME;6.191;0,000157228954843;368
MULTIPLIC COMUNICACAO E TECNOLOGIA LTDA;6.170;0,000156695630978;369
ACESSO NET SERVICOS LTDA - EPP;6.140;0,000155933739741;370
SANTOS & LOPEZ TELECOMUNICACOES LTDA;6.132;0,000155730568745;371
C. HOKI DA COSTA & CIA LTDA;6.071;0,000154181389897;372
Bonusnet Servicos de Telecomunicacoes Ltda;6.071;0,000154181389897;372
